만 0~6세,,,,,,
예) 3,사회성 / 언어 / 인지 / 신체 발달,,예) 10분 아이컨텍,상세 미션 설명,예) 정서적 안정감,
아이 개월수,태그1,미션 수행 길이,미션 키워드,미션,효과,자료 출처*
2,사회성,3분,미소 응답,아이가 웃을 때 눈을 맞추며 함께 환하게 웃어주기,긍정적 애착 및 사회적 미소 유발,CDC
2,사회성,1분,1분 포옹,퇴근 후 1분간 아이를 가만히 품에 안고 체온 나누기,주양육자와의 정서적 유대감 재확인,UNICEF
2,사회성,3분,스킨십 수유,거울 속 아이 모습을 가리키며 이름 불러주기,자아 인식의 시작 및 시각적 즐거움,WHO
2,사회성,5분,얼굴 마주보기,아이가 소리 낼 때 크게 웃으며 박수 쳐주기,자기 효능감 및 상호작용 의지 고취,Harvard
2,사회성,5분,부드러운 대답,"얼굴을 가렸다 나타나며 ""까꿍"" 소리 들려주기",대상 영속성 기초 및 사회적 유희 학습,CDC
2,사회성,5분,심장 소리,"아이의 표정을 읽고 ""기쁘구나"", ""슬프구나"" 말해주기",감정 인지 및 정서 조절력의 기초,UNICEF
2,사회성,1분,재회 인사,"출근 시 손을 흔들며 ""안녕"" 인사 반복하기",비언어적 소통 신호 및 이별 의식 학습,WHO
2,사회성,5분,기저귀 스킨십,문 뒤에 살짝 숨었다 나타나며 아이 찾기,분리 불안 완화 및 정서적 회복탄력성,Harvard
2,사회성,상시,평온한 목소리,불안해할 때 평소 좋아하는 인형이나 담요 쥐여주기,이행기 대상을 통한 심리적 안정 유지,CDC
2,사회성,3분,관찰하며 기다리기,음악에 맞춰 아이와 마주 보고 함께 손뼉 치기,공동 참여의 즐거움 및 사회적 협력,UNICEF
2,언어,5분,옹알이 복창,아이가 내는 소리를 그대로 똑같이 따라 하기,발성 의지 고취 및 상호 소통의 기초 학습,CDC
2,언어,3분,의성어 파티,"""우르르"", ""까르르"" 등 재미있는 소리 들려주기",청각적 자극 및 언어적 호기심 유발,UNICEF
2,언어,3분,단어 중계,"""지금 기저귀 갈자"" 등 현재 행동을 말로 설명하기",단어와 상황의 연결 및 어휘력 기초 형성,Harvard
2,언어,10분,자장가 노래,낮고 느린 리듬의 자장가를 반복해서 불러주기,소리의 리듬감 인지 및 수면 안정 도움,WHO
2,언어,1분,이름 부르기,아이의 이름을 부르고 눈을 맞출 때까지 기다리기,자기 이름 소리에 대한 인지력 향상,CDC
2,언어,3분,높낮이 대화,목소리 톤을 높였다 낮췄다 하며 과장되게 말하기,소리 변별력 향상 및 주의 집중력 유도,Harvard
2,언어,2분,일상 소리 들려주기,"물소리, 종소리 등을 들려주며 소리 이름 말하기",주변 환경에 대한 청각적 이해력 증진,UNICEF
2,언어,5분,동화책 소리,그림책의 글자를 노래하듯 리듬감 있게 읽어주기,음성 언어에 대한 친숙도 및 정서적 교감,WHO
2,언어,2분,입술 소리,"""푸푸"", ""쪼옥"" 등 입술을 활용한 소리 들려주기",조음 기관 관찰 및 모방 욕구 자극,CDC
2,언어,3분,미소 섞인 말,말을 할 때 입 모양과 표정을 크게 지어 보이기,비언어적 소통 신호 및 표정 인지 도움,Harvard
